date;value3(Ko);value4(req)
2018/01/04:19:08:33;7710.00000000;-5280.00000000
2018/01/04:19:08:34;7725.00000000;-5300.00000000
2018/01/04:19:08:35;7740.00000000;-5320.00000000
2018/01/04:19:08:36;7755.00000000;-5340.00000000
2018/01/04:19:08:37;7770.00000000;-5360.00000000
2018/01/04:19:08:38;7785.00000000;-5380.00000000
2018/01/04:19:08:39;7800.00000000;-5400.00000000
2018/01/04:19:08:40;7815.00000000;-5420.00000000
2018/01/04:19:08:41;7830.00000000;-5440.00000000
2018/01/04:19:08:42;7845.00000000;-5460.00000000
2018/01/04:19:08:43;7860.00000000;-5480.00000000
2018/01/04:19:08:44;7875.00000000;-5500.00000000
2018/01/04:19:08:45;7890.00000000;-5520.00000000
2018/01/04:19:08:46;7905.00000000;-5540.00000000
2018/01/04:19:08:47;7920.00000000;-5560.00000000
2018/01/04:19:08:48;7935.00000000;-5580.00000000
2018/01/04:19:08:49;7950.00000000;-5600.00000000
2018/01/04:19:08:50;7965.00000000;-5620.00000000
2018/01/04:19:08:51;7980.00000000;-5640.00000000
2018/01/04:19:08:52;7995.00000000;-5660.00000000
2018/01/04:19:08:53;8010.00000000;-5680.00000000
2018/01/04:19:08:54;8025.00000000;-5700.00000000
2018/01/04:19:08:55;8040.00000000;-5720.00000000
2018/01/04:19:08:56;8055.00000000;-5740.00000000
2018/01/04:19:08:57;8070.00000000;-5760.00000000
2018/01/04:19:08:58;8085.00000000;-5780.00000000
2018/01/04:19:08:59;8100.00000000;-5800.00000000
2018/01/04:19:09:00;8115.00000000;-5820.00000000
2018/01/04:19:09:01;8130.00000000;-5840.00000000
2018/01/04:19:09:02;8145.00000000;-5860.00000000
2018/01/04:19:09:03;8160.00000000;-5880.00000000
2018/01/04:19:09:04;8175.00000000;-5900.00000000
2018/01/04:19:09:05;8190.00000000;-5920.00000000
2018/01/04:19:09:06;8205.00000000;-5940.00000000
2018/01/04:19:09:07;8220.00000000;-5960.00000000
2018/01/04:19:09:08;8235.00000000;-5980.00000000
2018/01/04:19:09:09;8250.00000000;-6000.00000000
2018/01/04:19:09:10;8265.00000000;-6020.00000000
2018/01/04:19:09:11;8280.00000000;-6040.00000000
2018/01/04:19:09:12;8295.00000000;-6060.00000000
2018/01/04:19:09:13;8310.00000000;-6080.00000000
2018/01/04:19:09:14;8325.00000000;-6100.00000000
2018/01/04:19:09:15;8340.00000000;-6120.00000000
2018/01/04:19:09:16;8355.00000000;-6140.00000000
2018/01/04:19:09:17;8370.00000000;-6160.00000000
2018/01/04:19:09:18;8385.00000000;-6180.00000000
2018/01/04:19:09:19;8400.00000000;-6200.00000000
2018/01/04:19:09:20;8415.00000000;-6220.00000000
2018/01/04:19:09:21;8430.00000000;-6240.00000000
2018/01/04:19:09:22;8445.00000000;-6260.00000000
2018/01/04:19:09:23;8460.00000000;-6280.00000000
2018/01/04:19:09:24;8475.00000000;-6300.00000000
2018/01/04:19:09:25;8490.00000000;-6320.00000000
2018/01/04:19:09:26;8505.00000000;-6340.00000000
2018/01/04:19:09:27;8520.00000000;-6360.00000000
2018/01/04:19:09:28;8535.00000000;-6380.00000000
2018/01/04:19:09:29;8550.00000000;-6400.00000000
2018/01/04:19:09:30;8565.00000000;-6420.00000000
2018/01/04:19:09:31;8580.00000000;-6440.00000000
2018/01/04:19:09:32;8595.00000000;-6460.00000000
2018/01/04:19:09:33;8610.00000000;-6480.00000000
2018/01/04:19:09:34;8625.00000000;-6500.00000000
2018/01/04:19:09:35;8640.00000000;-6520.00000000
2018/01/04:19:09:36;8655.00000000;-6540.00000000
2018/01/04:19:09:37;8670.00000000;-6560.00000000
2018/01/04:19:09:38;8685.00000000;-6580.00000000
2018/01/04:19:09:39;8700.00000000;-6600.00000000
2018/01/04:19:09:40;8715.00000000;-6620.00000000
2018/01/04:19:09:41;8730.00000000;-6640.00000000
2018/01/04:19:09:42;8745.00000000;-6660.00000000
2018/01/04:19:09:43;8760.00000000;-6680.00000000
2018/01/04:19:09:44;8775.00000000;-6700.00000000
2018/01/04:19:09:45;8790.00000000;-6720.00000000
2018/01/04:19:09:46;8805.00000000;-6740.00000000
2018/01/04:19:09:47;8820.00000000;-6760.00000000
2018/01/04:19:09:48;8835.00000000;-6780.00000000
2018/01/04:19:09:49;8850.00000000;-6800.00000000
2018/01/04:19:09:50;8865.00000000;-6820.00000000
2018/01/04:19:09:51;8880.00000000;-6840.00000000
2018/01/04:19:09:52;8895.00000000;-6860.00000000
2018/01/04:19:09:53;8910.00000000;-6880.00000000
2018/01/04:19:09:54;8925.00000000;-6900.00000000
2018/01/04:19:09:55;8940.00000000;-6920.00000000
2018/01/04:19:09:56;8955.00000000;-6940.00000000
2018/01/04:19:09:57;8970.00000000;-6960.00000000
2018/01/04:19:09:58;8985.00000000;-6980.00000000
2018/01/04:19:09:59;9000.00000000;-7000.00000000
2018/01/04:19:10:00;9015.00000000;-7020.00000000
2018/01/04:19:10:01;9030.00000000;-7040.00000000
2018/01/04:19:10:02;9045.00000000;-7060.00000000
2018/01/04:19:10:03;9060.00000000;-7080.00000000
2018/01/04:19:10:04;9075.00000000;-7100.00000000
2018/01/04:19:10:05;9090.00000000;-7120.00000000
2018/01/04:19:10:06;9105.00000000;-7140.00000000
2018/01/04:19:10:07;9120.00000000;-7160.00000000
2018/01/04:19:10:08;9135.00000000;-7180.00000000
2018/01/04:19:10:09;9150.00000000;-7200.00000000
2018/01/04:19:10:10;9165.00000000;-7220.00000000
2018/01/04:19:10:11;9180.00000000;-7240.00000000
2018/01/04:19:10:12;9195.00000000;-7260.00000000
2018/01/04:19:10:13;9210.00000000;-7280.00000000
2018/01/04:19:10:14;9225.00000000;-7300.00000000
2018/01/04:19:10:15;9240.00000000;-7320.00000000
2018/01/04:19:10:16;9255.00000000;-7340.00000000
2018/01/04:19:10:17;9270.00000000;-7360.00000000
2018/01/04:19:10:18;9285.00000000;-7380.00000000
2018/01/04:19:10:19;9300.00000000;-7400.00000000
2018/01/04:19:10:20;9315.00000000;-7420.00000000
2018/01/04:19:10:21;9330.00000000;-7440.00000000
2018/01/04:19:10:22;9345.00000000;-7460.00000000
2018/01/04:19:10:23;9360.00000000;-7480.00000000
2018/01/04:19:10:24;9375.00000000;-7500.00000000
2018/01/04:19:10:25;9390.00000000;-7520.00000000
2018/01/04:19:10:26;9405.00000000;-7540.00000000
2018/01/04:19:10:27;9420.00000000;-7560.00000000
2018/01/04:19:10:28;9435.00000000;-7580.00000000
2018/01/04:19:10:29;9450.00000000;-7600.00000000
2018/01/04:19:10:30;9465.00000000;-7620.00000000
2018/01/04:19:10:31;9480.00000000;-7640.00000000
2018/01/04:19:10:32;9495.00000000;-7660.00000000
2018/01/04:19:10:33;9510.00000000;-7680.00000000
2018/01/04:19:10:34;9525.00000000;-7700.00000000
2018/01/04:19:10:35;9540.00000000;-7720.00000000
2018/01/04:19:10:36;9555.00000000;-7740.00000000
2018/01/04:19:10:37;9570.00000000;-7760.00000000
2018/01/04:19:10:38;9585.00000000;-7780.00000000
2018/01/04:19:10:39;9600.00000000;-7800.00000000
2018/01/04:19:10:40;9615.00000000;-7820.00000000
2018/01/04:19:10:41;9630.00000000;-7840.00000000
2018/01/04:19:10:42;9645.00000000;-7860.00000000
2018/01/04:19:10:43;9660.00000000;-7880.00000000
2018/01/04:19:10:44;9675.00000000;-7900.00000000
2018/01/04:19:10:45;9690.00000000;-7920.00000000
2018/01/04:19:10:46;9705.00000000;-7940.00000000
2018/01/04:19:10:47;9720.00000000;-7960.00000000
2018/01/04:19:10:48;9735.00000000;-7980.00000000
2018/01/04:19:10:49;9750.00000000;-8000.00000000
2018/01/04:19:10:50;9765.00000000;-8020.00000000
2018/01/04:19:10:51;9780.00000000;-8040.00000000
2018/01/04:19:10:52;9795.00000000;-8060.00000000
2018/01/04:19:10:53;9810.00000000;-8080.00000000
2018/01/04:19:10:54;9825.00000000;-8100.00000000
2018/01/04:19:10:55;9840.00000000;-8120.00000000
2018/01/04:19:10:56;9855.00000000;-8140.00000000
2018/01/04:19:10:57;9870.00000000;-8160.00000000
2018/01/04:19:10:58;9885.00000000;-8180.00000000
2018/01/04:19:10:59;9900.00000000;-8200.00000000
2018/01/04:19:11:00;9915.00000000;-8220.00000000
2018/01/04:19:11:01;9930.00000000;-8240.00000000
2018/01/04:19:11:02;9945.00000000;-8260.00000000
2018/01/04:19:11:03;9960.00000000;-8280.00000000
2018/01/04:19:11:04;9975.00000000;-8300.00000000
2018/01/04:19:11:05;9990.00000000;-8320.00000000
2018/01/04:19:11:06;10005.00000000;-8340.00000000
2018/01/04:19:11:07;10020.00000000;-8360.00000000
2018/01/04:19:11:08;10035.00000000;-8380.00000000
2018/01/04:19:11:09;10050.00000000;-8400.00000000
2018/01/04:19:11:10;10065.00000000;-8420.00000000
2018/01/04:19:11:11;10080.00000000;-8440.00000000
2018/01/04:19:11:12;10095.00000000;-8460.00000000
2018/01/04:19:11:13;10110.00000000;-8480.00000000
2018/01/04:19:11:14;10125.00000000;-8500.00000000
2018/01/04:19:11:15;10140.00000000;-8520.00000000
2018/01/04:19:11:16;10155.00000000;-8540.00000000
2018/01/04:19:11:17;10170.00000000;-8560.00000000
2018/01/04:19:11:18;10185.00000000;-8580.00000000
2018/01/04:19:11:19;10200.00000000;-8600.00000000
2018/01/04:19:11:20;10215.00000000;-8620.00000000
2018/01/04:19:11:21;10230.00000000;-8640.00000000
2018/01/04:19:11:22;10245.00000000;-8660.00000000
2018/01/04:19:11:23;10260.00000000;-8680.00000000
2018/01/04:19:11:24;10275.00000000;-8700.00000000
2018/01/04:19:11:25;10290.00000000;-8720.00000000
2018/01/04:19:11:26;10305.00000000;-8740.00000000
2018/01/04:19:11:27;10320.00000000;-8760.00000000
2018/01/04:19:11:28;10335.00000000;-8780.00000000
2018/01/04:19:11:29;10350.00000000;-8800.00000000
2018/01/04:19:11:30;10365.00000000;-8820.00000000
2018/01/04:19:11:31;10380.00000000;-8840.00000000
2018/01/04:19:11:32;10395.00000000;-8860.00000000
2018/01/04:19:11:33;10410.00000000;-8880.00000000
2018/01/04:19:11:34;10425.00000000;-8900.00000000
2018/01/04:19:11:35;10440.00000000;-8920.00000000
2018/01/04:19:11:36;10455.00000000;-8940.00000000
2018/01/04:19:11:37;10470.00000000;-8960.00000000
2018/01/04:19:11:38;10485.00000000;-8980.00000000
2018/01/04:19:11:39;10500.00000000;-9000.00000000
2018/01/04:19:11:40;10515.00000000;-9020.00000000
2018/01/04:19:11:41;10530.00000000;-9040.00000000
2018/01/04:19:11:42;10545.00000000;-9060.00000000
2018/01/04:19:11:43;10560.00000000;-9080.00000000
2018/01/04:19:11:44;10575.00000000;-9100.00000000
2018/01/04:19:11:45;10590.00000000;-9120.00000000
2018/01/04:19:11:46;10605.00000000;-9140.00000000
2018/01/04:19:11:47;10620.00000000;-9160.00000000
2018/01/04:19:11:48;10635.00000000;-9180.00000000
2018/01/04:19:11:49;10650.00000000;-9200.00000000
2018/01/04:19:11:50;10665.00000000;-9220.00000000
2018/01/04:19:11:51;10680.00000000;-9240.00000000
2018/01/04:19:11:52;10695.00000000;-9260.00000000
2018/01/04:19:11:53;10710.00000000;-9280.00000000
2018/01/04:19:11:54;10725.00000000;-9300.00000000
2018/01/04:19:11:55;10740.00000000;-9320.00000000
2018/01/04:19:11:56;10755.00000000;-9340.00000000
2018/01/04:19:11:57;10770.00000000;-9360.00000000
2018/01/04:19:11:58;10785.00000000;-9380.00000000
2018/01/04:19:11:59;10800.00000000;-9400.00000000
2018/01/04:19:12:00;10815.00000000;-9420.00000000
2018/01/04:19:12:01;10830.00000000;-9440.00000000
2018/01/04:19:12:02;10845.00000000;-9460.00000000
2018/01/04:19:12:03;10860.00000000;-9480.00000000
2018/01/04:19:12:04;10875.00000000;-9500.00000000
2018/01/04:19:12:05;10890.00000000;-9520.00000000
2018/01/04:19:12:06;10905.00000000;-9540.00000000
2018/01/04:19:12:07;10920.00000000;-9560.00000000
2018/01/04:19:12:08;10935.00000000;-9580.00000000
2018/01/04:19:12:09;10950.00000000;-9600.00000000
2018/01/04:19:12:10;10965.00000000;-9620.00000000
2018/01/04:19:12:11;10980.00000000;-9640.00000000
2018/01/04:19:12:12;10995.00000000;-9660.00000000
2018/01/04:19:12:13;11010.00000000;-9680.00000000
2018/01/04:19:12:14;11025.00000000;-9700.00000000
2018/01/04:19:12:15;11040.00000000;-9720.00000000
2018/01/04:19:12:16;11055.00000000;-9740.00000000
2018/01/04:19:12:17;11070.00000000;-9760.00000000
2018/01/04:19:12:18;11085.00000000;-9780.00000000
2018/01/04:19:12:19;11100.00000000;-9800.00000000
2018/01/04:19:12:20;11115.00000000;-9820.00000000
2018/01/04:19:12:21;11130.00000000;-9840.00000000
2018/01/04:19:12:22;11145.00000000;-9860.00000000
2018/01/04:19:12:23;11160.00000000;-9880.00000000
2018/01/04:19:12:24;11175.00000000;-9900.00000000
2018/01/04:19:12:25;11190.00000000;-9920.00000000
2018/01/04:19:12:26;11205.00000000;-9940.00000000
2018/01/04:19:12:27;11220.00000000;-9960.00000000
2018/01/04:19:12:28;11235.00000000;-9980.00000000
2018/01/04:19:12:29;11250.00000000;-10000.00000000
2018/01/04:19:12:30;11265.00000000;-10020.00000000
2018/01/04:19:12:31;11280.00000000;-10040.00000000
2018/01/04:19:12:32;11295.00000000;-10060.00000000
2018/01/04:19:12:33;11310.00000000;-10080.00000000
2018/01/04:19:12:34;11325.00000000;-10100.00000000
2018/01/04:19:12:35;11340.00000000;-10120.00000000
2018/01/04:19:12:36;11355.00000000;-10140.00000000
2018/01/04:19:12:37;11370.00000000;-10160.00000000
2018/01/04:19:12:38;11385.00000000;-10180.00000000
2018/01/04:19:12:39;11400.00000000;-10200.00000000
2018/01/04:19:12:40;11415.00000000;-10220.00000000
2018/01/04:19:12:41;11430.00000000;-10240.00000000
2018/01/04:19:12:42;11445.00000000;-10260.00000000
2018/01/04:19:12:43;11460.00000000;-10280.00000000
2018/01/04:19:12:44;11475.00000000;-10300.00000000
2018/01/04:19:12:45;11490.00000000;-10320.00000000
2018/01/04:19:12:46;11505.00000000;-10340.00000000
2018/01/04:19:12:47;11520.00000000;-10360.00000000
2018/01/04:19:12:48;11535.00000000;-10380.00000000
2018/01/04:19:12:49;11550.00000000;-10400.00000000
2018/01/04:19:12:50;11565.00000000;-10420.00000000
2018/01/04:19:12:51;11580.00000000;-10440.00000000
2018/01/04:19:12:52;11595.00000000;-10460.00000000
2018/01/04:19:12:53;11610.00000000;-10480.00000000
2018/01/04:19:12:54;11625.00000000;-10500.00000000
2018/01/04:19:12:55;11640.00000000;-10520.00000000
2018/01/04:19:12:56;11655.00000000;-10540.00000000
2018/01/04:19:12:57;11670.00000000;-10560.00000000
2018/01/04:19:12:58;11685.00000000;-10580.00000000
2018/01/04:19:12:59;11700.00000000;-10600.00000000
2018/01/04:19:13:00;11715.00000000;-10620.00000000
2018/01/04:19:13:01;11730.00000000;-10640.00000000
2018/01/04:19:13:02;11745.00000000;-10660.00000000
2018/01/04:19:13:03;11760.00000000;-10680.00000000
2018/01/04:19:13:04;11775.00000000;-10700.00000000
2018/01/04:19:13:05;11790.00000000;-10720.00000000
2018/01/04:19:13:06;11805.00000000;-10740.00000000
2018/01/04:19:13:07;11820.00000000;-10760.00000000
2018/01/04:19:13:08;11835.00000000;-10780.00000000
2018/01/04:19:13:09;11850.00000000;-10800.00000000
2018/01/04:19:13:10;11865.00000000;-10820.00000000
2018/01/04:19:13:11;11880.00000000;-10840.00000000
2018/01/04:19:13:12;11895.00000000;-10860.00000000
2018/01/04:19:13:13;11910.00000000;-10880.00000000
2018/01/04:19:13:14;11925.00000000;-10900.00000000
2018/01/04:19:13:15;11940.00000000;-10920.00000000
2018/01/04:19:13:16;11955.00000000;-10940.00000000
2018/01/04:19:13:17;11970.00000000;-10960.00000000
2018/01/04:19:13:18;11985.00000000;-10980.00000000
2018/01/04:19:13:19;12000.00000000;-11000.00000000
2018/01/04:19:13:20;12015.00000000;-11020.00000000
2018/01/04:19:13:21;12030.00000000;-11040.00000000
2018/01/04:19:13:22;12045.00000000;-11060.00000000
2018/01/04:19:13:23;12060.00000000;-11080.00000000
2018/01/04:19:13:24;12075.00000000;-11100.00000000
2018/01/04:19:13:25;12090.00000000;-11120.00000000
2018/01/04:19:13:26;12105.00000000;-11140.00000000
2018/01/04:19:13:27;12120.00000000;-11160.00000000
2018/01/04:19:13:28;12135.00000000;-11180.00000000
2018/01/04:19:13:29;12150.00000000;-11200.00000000
2018/01/04:19:13:30;12165.00000000;-11220.00000000
2018/01/04:19:13:31;12180.00000000;-11240.00000000
2018/01/04:19:13:32;12195.00000000;-11260.00000000
2018/01/04:19:13:33;12210.00000000;-11280.00000000
2018/01/04:19:13:34;12225.00000000;-11300.00000000
2018/01/04:19:13:35;12240.00000000;-11320.00000000
2018/01/04:19:13:36;12255.00000000;-11340.00000000
2018/01/04:19:13:37;12270.00000000;-11360.00000000
2018/01/04:19:13:38;12285.00000000;-11380.00000000
2018/01/04:19:13:39;12300.00000000;-11400.00000000
2018/01/04:19:13:40;12315.00000000;-11420.00000000
2018/01/04:19:13:41;12330.00000000;-11440.00000000
2018/01/04:19:13:42;12345.00000000;-11460.00000000
2018/01/04:19:13:43;12360.00000000;-11480.00000000
2018/01/04:19:13:44;12375.00000000;-11500.00000000
2018/01/04:19:13:45;12390.00000000;-11520.00000000
2018/01/04:19:13:46;12405.00000000;-11540.00000000
2018/01/04:19:13:47;12420.00000000;-11560.00000000
2018/01/04:19:13:48;12435.00000000;-11580.00000000
2018/01/04:19:13:49;12450.00000000;-11600.00000000
2018/01/04:19:13:50;12465.00000000;-11620.00000000
2018/01/04:19:13:51;12480.00000000;-11640.00000000
2018/01/04:19:13:52;12495.00000000;-11660.00000000
2018/01/04:19:13:53;12510.00000000;-11680.00000000
2018/01/04:19:13:54;12525.00000000;-11700.00000000
2018/01/04:19:13:55;12540.00000000;-11720.00000000
2018/01/04:19:13:56;12555.00000000;-11740.00000000
2018/01/04:19:13:57;12570.00000000;-11760.00000000
2018/01/04:19:13:58;12585.00000000;-11780.00000000
2018/01/04:19:13:59;12600.00000000;-11800.00000000
2018/01/04:19:14:00;12615.00000000;-11820.00000000
2018/01/04:19:14:01;12630.00000000;-11840.00000000
2018/01/04:19:14:02;12645.00000000;-11860.00000000
2018/01/04:19:14:03;12660.00000000;-11880.00000000
2018/01/04:19:14:04;12675.00000000;-11900.00000000
2018/01/04:19:14:05;12690.00000000;-11920.00000000
2018/01/04:19:14:06;12705.00000000;-11940.00000000
2018/01/04:19:14:07;12720.00000000;-11960.00000000
2018/01/04:19:14:08;12735.00000000;-11980.00000000
2018/01/04:19:14:09;12750.00000000;-12000.00000000
2018/01/04:19:14:10;12765.00000000;-12020.00000000
2018/01/04:19:14:11;12780.00000000;-12040.00000000
2018/01/04:19:14:12;12795.00000000;-12060.00000000
2018/01/04:19:14:13;12810.00000000;-12080.00000000
2018/01/04:19:14:14;12825.00000000;-12100.00000000
2018/01/04:19:14:15;12840.00000000;-12120.00000000
2018/01/04:19:14:16;12855.00000000;-12140.00000000
2018/01/04:19:14:17;12870.00000000;-12160.00000000
2018/01/04:19:14:18;12885.00000000;-12180.00000000
2018/01/04:19:14:19;12900.00000000;-12200.00000000
2018/01/04:19:14:20;12915.00000000;-12220.00000000
2018/01/04:19:14:21;12930.00000000;-12240.00000000
2018/01/04:19:14:22;12945.00000000;-12260.00000000
2018/01/04:19:14:23;12960.00000000;-12280.00000000
2018/01/04:19:14:24;12975.00000000;-12300.00000000
2018/01/04:19:14:25;12990.00000000;-12320.00000000
2018/01/04:19:14:26;13005.00000000;-12340.00000000
2018/01/04:19:14:27;13020.00000000;-12360.00000000
2018/01/04:19:14:28;13035.00000000;-12380.00000000
2018/01/04:19:14:29;13050.00000000;-12400.00000000
2018/01/04:19:14:30;13065.00000000;-12420.00000000
2018/01/04:19:14:31;13080.00000000;-12440.00000000
2018/01/04:19:14:32;13095.00000000;-12460.00000000
2018/01/04:19:14:33;13110.00000000;-12480.00000000
2018/01/04:19:14:34;13125.00000000;-12500.00000000
2018/01/04:19:14:35;13140.00000000;-12520.00000000
2018/01/04:19:14:36;13155.00000000;-12540.00000000
2018/01/04:19:14:37;13170.00000000;-12560.00000000
2018/01/04:19:14:38;13185.00000000;-12580.00000000
2018/01/04:19:14:39;13200.00000000;-12600.00000000
2018/01/04:19:14:40;13215.00000000;-12620.00000000
2018/01/04:19:14:41;13230.00000000;-12640.00000000
2018/01/04:19:14:42;13245.00000000;-12660.00000000
2018/01/04:19:14:43;13260.00000000;-12680.00000000
2018/01/04:19:14:44;13275.00000000;-12700.00000000
2018/01/04:19:14:45;13290.00000000;-12720.00000000
2018/01/04:19:14:46;13305.00000000;-12740.00000000
2018/01/04:19:14:47;13320.00000000;-12760.00000000
2018/01/04:19:14:48;13335.00000000;-12780.00000000
2018/01/04:19:14:49;13350.00000000;-12800.00000000
2018/01/04:19:14:50;13365.00000000;-12820.00000000
2018/01/04:19:14:51;13380.00000000;-12840.00000000
2018/01/04:19:14:52;13395.00000000;-12860.00000000
2018/01/04:19:14:53;13410.00000000;-12880.00000000
2018/01/04:19:14:54;13425.00000000;-12900.00000000
2018/01/04:19:14:55;13440.00000000;-12920.00000000
2018/01/04:19:14:56;13455.00000000;-12940.00000000
2018/01/04:19:14:57;13470.00000000;-12960.00000000
2018/01/04:19:14:58;13485.00000000;-12980.00000000
2018/01/04:19:14:59;13500.00000000;-13000.00000000
2018/01/04:19:15:00;13515.00000000;-13020.00000000
2018/01/04:19:15:01;13530.00000000;-13040.00000000
2018/01/04:19:15:02;13545.00000000;-13060.00000000
2018/01/04:19:15:03;13560.00000000;-13080.00000000
2018/01/04:19:15:04;13575.00000000;-13100.00000000
2018/01/04:19:15:05;13590.00000000;-13120.00000000
2018/01/04:19:15:06;13605.00000000;-13140.00000000
2018/01/04:19:15:07;13620.00000000;-13160.00000000
2018/01/04:19:15:08;13635.00000000;-13180.00000000
2018/01/04:19:15:09;13650.00000000;-13200.00000000
2018/01/04:19:15:10;13665.00000000;-13220.00000000
2018/01/04:19:15:11;13680.00000000;-13240.00000000
2018/01/04:19:15:12;13695.00000000;-13260.00000000
2018/01/04:19:15:13;13710.00000000;-13280.00000000
2018/01/04:19:15:14;13725.00000000;-13300.00000000
2018/01/04:19:15:15;13740.00000000;-13320.00000000
2018/01/04:19:15:16;13755.00000000;-13340.00000000
2018/01/04:19:15:17;13770.00000000;-13360.00000000
2018/01/04:19:15:18;13785.00000000;-13380.00000000
2018/01/04:19:15:19;13800.00000000;-13400.00000000
2018/01/04:19:15:20;13815.00000000;-13420.00000000
2018/01/04:19:15:21;13830.00000000;-13440.00000000
2018/01/04:19:15:22;13845.00000000;-13460.00000000
2018/01/04:19:15:23;13860.00000000;-13480.00000000
2018/01/04:19:15:24;13875.00000000;-13500.00000000
2018/01/04:19:15:25;13890.00000000;-13520.00000000
2018/01/04:19:15:26;13905.00000000;-13540.00000000
2018/01/04:19:15:27;13920.00000000;-13560.00000000
2018/01/04:19:15:28;13935.00000000;-13580.00000000
2018/01/04:19:15:29;13950.00000000;-13600.00000000
2018/01/04:19:15:30;13965.00000000;-13620.00000000
2018/01/04:19:15:31;13980.00000000;-13640.00000000
2018/01/04:19:15:32;13995.00000000;-13660.00000000
2018/01/04:19:15:33;14010.00000000;-13680.00000000
2018/01/04:19:15:34;14025.00000000;-13700.00000000
2018/01/04:19:15:35;14040.00000000;-13720.00000000
2018/01/04:19:15:36;14055.00000000;-13740.00000000
2018/01/04:19:15:37;14070.00000000;-13760.00000000
2018/01/04:19:15:38;14085.00000000;-13780.00000000
2018/01/04:19:15:39;14100.00000000;-13800.00000000
2018/01/04:19:15:40;14115.00000000;-13820.00000000
2018/01/04:19:15:41;14130.00000000;-13840.00000000
2018/01/04:19:15:42;14145.00000000;-13860.00000000
2018/01/04:19:15:43;14160.00000000;-13880.00000000
2018/01/04:19:15:44;14175.00000000;-13900.00000000
2018/01/04:19:15:45;14190.00000000;-13920.00000000
2018/01/04:19:15:46;14205.00000000;-13940.00000000
2018/01/04:19:15:47;14220.00000000;-13960.00000000
2018/01/04:19:15:48;14235.00000000;-13980.00000000
2018/01/04:19:15:49;14250.00000000;-14000.00000000
2018/01/04:19:15:50;14265.00000000;-14020.00000000
2018/01/04:19:15:51;14280.00000000;-14040.00000000
2018/01/04:19:15:52;14295.00000000;-14060.00000000
2018/01/04:19:15:53;14310.00000000;-14080.00000000
2018/01/04:19:15:54;14325.00000000;-14100.00000000
2018/01/04:19:15:55;14340.00000000;-14120.00000000
2018/01/04:19:15:56;14355.00000000;-14140.00000000
2018/01/04:19:15:57;14370.00000000;-14160.00000000
2018/01/04:19:15:58;14385.00000000;-14180.00000000
2018/01/04:19:15:59;14400.00000000;-14200.00000000
2018/01/04:19:16:00;14415.00000000;-14220.00000000
2018/01/04:19:16:01;14430.00000000;-14240.00000000
2018/01/04:19:16:02;14445.00000000;-14260.00000000
2018/01/04:19:16:03;14460.00000000;-14280.00000000
2018/01/04:19:16:04;14475.00000000;-14300.00000000
2018/01/04:19:16:05;14490.00000000;-14320.00000000
2018/01/04:19:16:06;14505.00000000;-14340.00000000
2018/01/04:19:16:07;14520.00000000;-14360.00000000
2018/01/04:19:16:08;14535.00000000;-14380.00000000
2018/01/04:19:16:09;14550.00000000;-14400.00000000
2018/01/04:19:16:10;14565.00000000;-14420.00000000
2018/01/04:19:16:11;14580.00000000;-14440.00000000
2018/01/04:19:16:12;14595.00000000;-14460.00000000
2018/01/04:19:16:13;14610.00000000;-14480.00000000
2018/01/04:19:16:14;14625.00000000;-14500.00000000
2018/01/04:19:16:15;14640.00000000;-14520.00000000
2018/01/04:19:16:16;14655.00000000;-14540.00000000
2018/01/04:19:16:17;14670.00000000;-14560.00000000
2018/01/04:19:16:18;14685.00000000;-14580.00000000
2018/01/04:19:16:19;14700.00000000;-14600.00000000
2018/01/04:19:16:20;14715.00000000;-14620.00000000
2018/01/04:19:16:21;14730.00000000;-14640.00000000
2018/01/04:19:16:22;14745.00000000;-14660.00000000
2018/01/04:19:16:23;14760.00000000;-14680.00000000
2018/01/04:19:16:24;14775.00000000;-14700.00000000
2018/01/04:19:16:25;14790.00000000;-14720.00000000
2018/01/04:19:16:26;14805.00000000;-14740.00000000
2018/01/04:19:16:27;14820.00000000;-14760.00000000
2018/01/04:19:16:28;14835.00000000;-14780.00000000
2018/01/04:19:16:29;14850.00000000;-14800.00000000
2018/01/04:19:16:30;14865.00000000;-14820.00000000
2018/01/04:19:16:31;14880.00000000;-14840.00000000
2018/01/04:19:16:32;14895.00000000;-14860.00000000
2018/01/04:19:16:33;14910.00000000;-14880.00000000
2018/01/04:19:16:34;14925.00000000;-14900.00000000
2018/01/04:19:16:35;14940.00000000;-14920.00000000
2018/01/04:19:16:36;14955.00000000;-14940.00000000
2018/01/04:19:16:37;14970.00000000;-14960.00000000
2018/01/04:19:16:38;14985.00000000;-14980.00000000
2018/01/04:19:16:39;15000.00000000;-15000.00000000
2018/01/04:19:16:40;15015.00000000;-15020.00000000
2018/01/04:19:16:41;15030.00000000;-15040.00000000
2018/01/04:19:16:42;15045.00000000;-15060.00000000
2018/01/04:19:16:43;15060.00000000;-15080.00000000
2018/01/04:19:16:44;15075.00000000;-15100.00000000
2018/01/04:19:16:45;15090.00000000;-15120.00000000
2018/01/04:19:16:46;15105.00000000;-15140.00000000
2018/01/04:19:16:47;15120.00000000;-15160.00000000
2018/01/04:19:16:48;15135.00000000;-15180.00000000
2018/01/04:19:16:49;15150.00000000;-15200.00000000
2018/01/04:19:16:50;15165.00000000;-15220.00000000
2018/01/04:19:16:51;15180.00000000;-15240.00000000
